#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
26.89027,3,9.444402
35.243844,4,9.4479
35.111564,4,9.479487
35.265558,4,9.482789
35.15661,4,9.513331
26.852625,3,9.516107
26.943742,3,9.539694
26.967852,3,9.542503
26.925873,3,9.565454
35.298014,4,9.56888
35.283158,4,9.600644
35.404655,4,9.604081
26.847136,3,9.627301
35.249293,4,9.630728
26.980596,3,9.65309
35.318135,4,9.65669
26.756792,3,9.679661
35.228234,4,9.683117
26.88774,3,9.70651
35.363732,4,9.709838
35.205624,4,9.740422
26.838807,3,9.743263
35.134215,4,9.775354
35.265376,4,9.778668
26.873203,3,9.802706
35.167615,4,9.806051
35.320521,4,9.836705
35.256357,4,9.840365
35.252746,4,9.871147
26.915347,3,9.873765
35.306281,4,9.906015
26.907765,3,9.908617
26.921074,3,9.932205
26.913399,3,9.934809
35.270643,4,9.966814
26.853815,3,9.969744
26.930836,3,9.993975
26.875489,3,9.996778
26.938653,3,10.02055
35.211886,4,10.023947
35.131096,4,10.054405
26.880171,3,10.057053
26.959386,3,10.080647
35.200211,4,10.083993
26.835943,3,10.108649
26.943356,3,10.111218
26.834684,3,10.13348
26.796832,3,10.1361
26.789417,3,10.159814
35.172105,4,10.163245
26.846108,3,10.186526
35.371753,4,10.190258
26.876071,3,10.215512
35.303927,4,10.21895
26.961443,3,10.242166
26.854715,3,10.244787
26.954136,3,10.267956
26.760033,3,10.270825
35.229281,4,10.302151
26.919682,3,10.305009
35.167495,4,10.338544
26.956335,3,10.341193
35.149059,4,10.372377
26.977081,3,10.375102
35.156791,4,10.405663
35.143954,4,10.409007
26.910568,3,10.432811
35.301488,4,10.436232
26.827811,3,10.459799
26.893736,3,10.462366
35.272014,4,10.493315
35.18647,4,10.496904
26.928219,3,10.522104
35.154984,4,10.525739
35.343382,4,10.558764
35.278632,4,10.562055
35.342192,4,10.594348
35.303495,4,10.597785
26.934584,3,10.621952
26.831307,3,10.624507
26.902088,3,10.650203
35.333048,4,10.653743
26.905975,3,10.677716
26.932411,3,10.680584
35.105383,4,10.710865
26.779281,3,10.713666
35.277592,4,10.754034
26.815693,3,10.756942
35.363102,4,10.78871
26.884216,3,10.791439
26.905534,3,10.813558
35.367844,4,10.816784
35.223908,4,10.848586
26.894237,3,10.851179
35.103044,4,10.88221
35.280071,4,10.885819
26.839609,3,10.909366
26.915729,3,10.912129
26.868694,3,10.935615
26.973566,3,10.938402
26.912185,3,10.961349
35.341087,4,10.964731
35.314981,4,10.995371
26.929095,3,10.998022
35.245203,4,11.028673
26.946078,3,11.031463
35.329531,4,11.063048
35.160524,4,11.066657
26.851222,3,11.090293
35.268709,4,11.093741
26.965912,3,11.117753
26.883087,3,11.120538
35.122619,4,11.151963
35.191785,4,11.155619
35.233803,4,11.187341
35.350912,4,11.190705
26.851731,3,11.214124
35.210028,4,11.218248
26.813739,3,11.241411
35.206482,4,11.244711
35.142338,4,11.276864
35.298558,4,11.280253
26.915498,3,11.303495
35.30209,4,11.307059
26.896283,3,11.330607
26.913224,3,11.3332
26.910868,3,11.356388
26.938148,3,11.359086
26.946598,3,11.38272
35.176112,4,11.386047
26.945431,3,11.409675
35.193738,4,11.413105
35.193992,4,11.44417
35.282506,4,11.44743
35.197569,4,11.479201
26.97489,3,11.481826
35.361742,4,11.512641
26.949275,3,11.515393
26.955217,3,11.538802
35.224635,4,11.542152
35.364534,4,11.57208
26.787655,3,11.574853
26.879434,3,11.598056
35.334496,4,11.601294
35.310152,4,11.632201
26.886041,3,11.634997
35.245154,4,11.665605
26.913511,3,11.66855
26.857612,3,11.692518
26.840661,3,11.695054
35.37435,4,11.72561
35.233115,4,11.729178
35.156548,4,11.75973
26.869789,3,11.7625
26.960424,3,11.784935
26.954409,3,11.787801
26.945049,3,11.812349
26.934133,3,11.815122
26.955878,3,11.839077
26.977603,3,11.841603
35.161735,4,11.871633
35.240568,4,11.875039
35.262166,4,11.906582
26.990176,3,11.9095
26.889493,3,11.932739
35.196601,4,11.936198
26.74461,3,11.960038
26.909153,3,11.96261
35.284314,4,11.99263
26.887333,3,11.995492
26.758247,3,12.018152
35.273379,4,12.021517
35.305167,4,12.05116
26.90396,3,12.053881
26.924606,3,12.07736
35.299411,4,12.080726
35.302999,4,12.111229
35.302751,4,12.114589
26.972872,3,12.138291
26.883871,3,12.140889
26.920696,3,12.164362
35.209602,4,12.167726
